ISO code,Country,Variable code,Variable name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DEU,Germany,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.52494621276855,3.53868365287781,3.55247449874878,3.56631898880005,3.57492637634277,3.58355450630188,3.59220337867737,3.60087323188782,3.60956406593323,3.61827564239502,3.62700843811035,3.63576221466064,3.64453721046448,3.65333318710327,3.65577626228333,3.65822052955627,3.66066670417786,3.66311454772949,3.66556406021118,3.66801500320435,3.67046761512756,3.67292213439941,3.67537784576416,3.67783570289612,3.68691277503967,3.69603681564331,3.70520830154419
DNK,Denmark,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.24084973335266,3.26083564758301,3.28094434738159,3.30117750167847,3.31471872329712,3.32831573486328,3.34196853637695,3.35567712783813,3.36944198608398,3.38326358795166,3.39714169502258,3.41107678413391,3.42506909370422,3.43911862373352,3.45655488967896,3.47407937049866,3.49169301986694,3.50939559936523,3.52718830108643,3.54507112503052,3.56304430961609,3.58110880851746,3.5992648601532,3.61751317977905,3.63368630409241,3.65001320838928,3.66649580001831
DOM,Dominican Republic,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.08969044685364,2.11248421669006,2.13552641868591,2.15881991386414,2.17516422271729,2.19163250923157,2.20822525024414,2.2249436378479,2.24178862571716,2.27710962295532,2.31298732757568,2.34943008422852,2.38644695281982,2.42404723167419,2.47031021118164,2.51745581626892,2.56369662284851,2.59653639793396,2.62979674339294,2.66348338127136,2.69760131835938,2.73215627670288,2.76715397834778,2.80260014533997,2.84226489067078,2.88338804244995,2.92603707313538
DZA,Algeria,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.7806990146637,1.81483399868011,1.84962320327759,1.88507950305939,1.90001463890076,1.91506826877594,1.93024098873138,1.94553411006928,1.96094822883606,1.97648453712463,1.99214398860931,2.00792741775513,2.02383589744568,2.03987050056458,2.07550859451294,2.11176919937134,2.14866352081299,2.18620228767395,2.22439670562744,2.26325869560242,2.30279946327209,2.34303092956543,2.38396549224854,2.42561507225037,2.45266890525818,2.48042869567871,2.50891828536987
ECU,Ecuador,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.37987112998962,2.40419411659241,2.42876577377319,2.45358872413635,2.48427653312683,2.51534819602966,2.54680848121643,2.57254362106323,2.59416246414185,2.61596298217773,2.63794684410095,2.66011524200439,2.68247008323669,2.70501255989075,2.71133708953857,2.71767663955688,2.7240309715271,2.73040008544922,2.73678398132324,2.74318289756775,2.74959659576416,2.75602555274963,2.76246953010559,2.76892852783203,2.8261821269989,2.79839634895325,2.82538056373596
EGY,Egypt,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.8786506652832,1.90704917907715,1.93587708473206,1.96514070034027,2.00113081932068,2.03778004646301,2.07510042190552,2.11310434341431,2.15180444717407,2.19121313095093,2.2313437461853,2.27220916748047,2.31382298469543,2.35619902610779,2.39559030532837,2.43564009666443,2.47635960578918,2.51775979995728,2.5598521232605,2.58862996101379,2.61768794059753,2.64707231521606,2.67678642272949,2.70683407783508,2.75470471382141,2.80485892295837,2.85743236541748
ESP,Spain,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.58531641960144,2.6019115447998,2.61861324310303,2.63542246818543,2.65172410011292,2.66812658309937,2.68463063240051,2.70123672485352,2.71794581413269,2.73475813865662,2.75167417526245,2.76869511604309,2.78582119941711,2.80305314064026,2.82275176048279,2.84258842468262,2.8625648021698,2.88268136978149,2.90293955802918,2.92333984375,2.94388365745544,2.96457171440125,2.9854052066803,3.00638508796692,3.02822971343994,3.05045986175537,3.07308387756348
EST,Estonia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.13711285591126,3.19125413894653,3.24632954597473,3.30235552787781,3.31723690032959,3.33218550682068,3.34720134735107,3.36228489875793,3.37743639945984,3.39626121520996,3.41519117355347,3.43422651290894,3.4533679485321,3.47261595726013,3.48813080787659,3.49925565719605,3.51936936378479,3.49702787399292,3.50818061828613,3.5126519203186,3.52385497093201,3.54636764526367,3.53396797180176,3.52161145210266,3.54196763038635,3.56257843971252,3.5834481716156
ETH,Ethiopia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.15370106697083,1.16553390026093,1.17748808860779,1.1895649433136,1.1984555721283,1.20741271972656,1.21643686294556,1.22552835941315,1.23468780517578,1.24391579627991,1.25321269035339,1.26257908344269,1.27201545238495,1.28152239322662,1.29974734783173,1.3182315826416,1.33697867393494,1.35599231719971,1.37527632713318,1.39483463764191,1.41467106342316,1.43478965759277,1.45519435405731,1.47588920593262,1.49691438674927,1.51901984214783,1.54227304458618
FIN,Finland,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.07915759086609,3.09656238555908,3.11406540870667,3.13166737556458,3.15149402618408,3.17144656181335,3.19152498245239,3.21173048019409,3.23206400871277,3.25252652168274,3.27311825752258,3.2938404083252,3.31469392776489,3.33567929267883,3.35402321815491,3.37246775627136,3.39101386070251,3.40966200828552,3.42841267585754,3.44726634025574,3.46622395515442,3.48528575897217,3.50445199012756,3.52372407913208,3.54863691329956,3.57393145561218,3.59961485862732
